PostalCode,Borough,Neighborhood
M3A,M3A,"Parkwoods"
M4A,M4A,"Victoria Village"
M5A,M5A,"Regent Park, Harbourfront"
M6A,M6A,"Lawrence Manor, Lawrence Heights"
M7A,M7A,"Queen's Park, Ontario Provincial Government"
M9A,M9A,"Islington Avenue"
M1B,M1B,"Malvern, Rouge"
M3B,M3B,"Don Mills, North"
M4B,M4B,"Parkview Hill, Woodbine Gardens"
M5B,M5B,"Garden District, ,, Ryerson"
M6B,M6B,"Glencairn"
M9B,M9B,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale"
M1C,M1C,"Rouge Hill, Port Union, Highland Creek"
M3C,M3C,"Don Mills, South, Flemingdon Park"
M4C,M4C,"Woodbine Heights"
M5C,M5C,"St. James Town"
M6C,M6C,"Humewood-Cedarvale"
M9C,M9C,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood"
M1E,M1E,"Guildwood, Morningside, West Hill"
M4E,M4E,"The Beaches"
M5E,M5E,"Berczy Park"
M6E,M6E,"Caledonia-Fairbanks"
M1G,M1G,"Woburn"
M4G,M4G,"Leaside"
M5G,M5G,"Central, Bay Street"
M6G,M6G,"Christie"
M1H,M1H,"Cedarbrae"
M2H,M2H,"Hillcrest Village"
M3H,M3H,"Bathurst Manor, Wilson Heights, Downsview, North"
M4H,M4H,"Thorncliffe Park"
M5H,M5H,"Richmond, Adelaide, King"
M6H,M6H,"Dufferin, Dovercourt Village"
M1J,M1J,"Scarborough Village"
M2J,M2J,"Fairview, Henry Farm, Oriole"
M3J,M3J,"Northwood Park, York University"
M4J,M4J,"East Toronto, The Danforth, East"
M5J,M5J,"Harbourfront, East, Union Station, Toronto Islands"
M6J,M6J,"Little Portugal, Trinity"
M1K,M1K,"Kennedy Park, Ionview, East, Birchmount Park"
M2K,M2K,"Bayview Village"
M3K,M3K,"Downsview, East, CFB Toronto"
M4K,M4K,"The Danforth, West, Riverdale"
M5K,M5K,"Toronto Dominion Centre, Design Exchange"
M6K,M6K,"Brockton, Parkdale Village, Exhibition Place"
M1L,M1L,"Golden Mile, Clairlea, Oakridge"
M2L,M2L,"York Mills, Silver Hills"
M3L,M3L,"Downsview, West"
M4L,M4L,"India Bazaar, The Beaches, West"
M5L,M5L,"Commerce Court, Victoria Hotel"
M6L,M6L,"North Park, Maple Leaf Park, Upwood Park"
M9L,M9L,"Humber Summit"
M1M,M1M,"Cliffside, Cliffcrest, Scarborough Village, West"
M2M,M2M,"Willowdale, Newtonbrook"
M3M,M3M,"Downsview, Central"
M4M,M4M,"Studio District"
M5M,M5M,"Bedford Park, Lawrence Manor, East"
M6M,M6M,"Del Ray, Mount Dennis, Keelsdale and Silverthorn"
M9M,M9M,"Humberlea, Emery"
M1N,M1N,"Birch Cliff, Cliffside, West"
M2N,M2N,"Willowdale, South"
M3N,M3N,"Downsview, Northwest"
M4N,M4N,"Lawrence Park"
M5N,M5N,"Roselawn"
M6N,M6N,"Runnymede, The Junction, North"
M9N,M9N,"Weston"
M1P,M1P,"Dorset Park, Wexford Heights, Scarborough Town Centre"
M2P,M2P,"York Mills, West"
M4P,M4P,"Davisville, North"
M5P,M5P,"Forest Hill, North & West"
M6P,M6P,"High Park, The Junction, South"
M9P,M9P,"Westmount"
M1R,M1R,"Wexford, Maryvale"
M2R,M2R,"Willowdale, West"
M4R,M4R,"North Toronto, West"
M5R,M5R,"The Annex, North Midtown, Yorkville"
M6R,M6R,"Parkdale, Roncesvalles"
M7R,M7R,"Canada Post Gateway Processing Centre, Enclave of L4W"
M9R,M9R,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens"
M1S,M1S,"Agincourt"
M4S,M4S,"Davisville"
M5S,M5S,"University of Toronto, Harbord"
M6S,M6S,"Runnymede, Swansea"
M1T,M1T,"Clarks Corners, Tam O'Shanter, Sullivan"
M4T,M4T,"Moore Park, Summerhill, East"
M5T,M5T,"Kensington Market, Chinatown, Grange Park"
M1V,M1V,"Milliken, Agincourt North, Steeles, East, L'Amoreaux, East"
M4V,M4V,"Summerhill, West, Rathnelly, South Hill, Forest Hill, SE, Deer Park"
M5V,M5V,"CN Tower, King and Spadina, Railway Lands, Harbourfront, West, Bathurst Quay, South Niagara, Island airport"
M8V,M8V,"New Toronto, Mimico, South, Humber Bay Shores"
M9V,M9V,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens"
M1W,M1W,"Steeles, West, L'Amoreaux, West"
M4W,M4W,"Rosedale"
M5W,M5W,"Stn A PO Boxes, 25 The Esplanade, Enclave of M5E"
M8W,M8W,"Alderwood, Long Branch"
M9W,M9W,"Northwest, Clairville, Humberwood, Woodbine Downs, West Humber, Kipling Heights, Rexdale, Elms, Tandridge, Old Rexdale"
M1X,M1X,"Upper Rouge"
M4X,M4X,"St. James Town, Cabbagetown"
M5X,M5X,"First Canadian Place, Underground city"
M8X,M8X,"The Kingsway, Montgomery Road, Old Mill, North"
M4Y,M4Y,"Church and Wellesley"
M7Y,M7Y,"Business reply mail, Processing Centre, 969 Eastern, Enclave of M4L"
M8Y,M8Y,"Old Mill, South, King's Mill Park, Sunnylea, Humber Bay, Mimico, NE, The Queensway, East, Royal York South East, Kingsway Park South East"
M8Z,M8Z,"Mimico, NW, The Queensway, West, South of Bloor, Kingsway Park South West, Royal York South West"
